,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0
2,0,1,0,0,1,2,2,2,2,2,2,2,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,1,2,0,0
3,2,0,2,0,1,3,3,3,3,3,2,0,2,1,0,2,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0
4,0,0,1,0,1,4,4,4,4,4,0,1,2,2,2,1,0,2,1,0,0,2,0,0,1,0,0,2,0,0,0
5,3,0,3,1,1,1,5,5,5,5,2,3,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0
6,4,1,2,2,1,2,6,4,4,6,0,4,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
7,0,1,4,0,1,5,1,2,4,5,3,5,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
8,0,0,0,1,1,6,7,6,1,7,2,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
9,5,1,2,0,1,7,8,7,3,8,2,6,1,2,0,3,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0
10,1,0,5,0,1,8,2,8,6,9,3,4,0,1,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1
11,4,1,6,3,1,5,8,9,7,10,4,7,0,2,0,1,0,1,0,2,0,3,0,0,0,2,0,2,3,0,0
12,5,0,5,0,1,9,9,10,2,11,5,4,0,2,0,4,0,2,0,3,0,0,0,0,0,2,2,1,3,0,0
13,5,0,0,1,1,10,2,3,8,12,1,6,4,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0
14,5,0,0,0,1,11,10,10,9,5,5,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
15,5,1,5,0,1,12,11,5,10,7,1,5,0,0,1,1,0,4,0,2,0,2,0,0,0,0,0,0,2,0,0
16,0,0,6,0,1,13,3,11,11,13,0,9,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0
17,4,1,4,0,1,14,12,12,12,14,2,6,1,2,2,1,0,5,2,3,0,2,0,1,0,2,0,1,3,0,0
18,5,1,5,4,1,15,13,13,7,15,1,1,1,0,0,0,0,2,1,2,0,4,0,0,2,2,0,1,2,0,0
19,0,1,0,0,1,16,14,14,7,13,2,9,2,2,0,1,0,4,1,0,0,2,0,0,0,0,3,0,4,0,0
20,4,1,0,0,1,10,2,15,13,16,3,1,1,2,2,1,0,3,1,0,0,0,0,0,0,2,0,1,5,0,0
