,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,1,1,1,0
2,2,1,2,1,2,2,2,2,2,1
3,3,2,3,0,3,3,0,3,3,0
4,0,3,4,0,4,4,3,4,2,1
5,4,0,5,2,5,1,4,5,2,1
6,5,0,6,0,6,5,5,6,2,1
7,6,0,7,0,7,2,6,7,4,1
8,7,0,3,0,3,6,7,3,2,1
9,7,1,8,0,8,2,8,8,4,1
10,0,0,0,0,4,7,0,9,2,1
11,1,0,9,0,1,8,1,1,1,0
12,5,0,6,0,9,9,9,10,1,1
13,8,4,10,3,8,10,4,11,4,1
14,6,5,5,0,7,2,10,3,4,1
15,9,0,0,0,8,2,11,3,4,1
16,10,0,10,0,2,11,10,3,4,1
17,1,0,8,0,3,3,12,3,5,0
18,1,0,11,0,10,12,12,12,6,0
19,9,6,12,0,8,2,13,13,2,1
20,5,0,11,0,11,13,14,14,7,1
21,5,0,12,4,10,2,15,15,8,1
22,5,7,11,0,12,2,1,16,9,1
23,2,6,9,5,2,2,16,13,2,1
24,8,8,13,0,8,14,17,17,4,1
25,11,1,14,6,3,2,13,1,4,1
26,0,0,15,0,7,3,18,18,10,0
27,5,0,13,0,13,15,2,19,3,1
28,5,0,13,7,14,2,1,5,11,1
29,9,0,16,0,7,16,19,20,4,1
30,5,0,0,0,5,17,13,21,4,1
31,12,9,7,0,7,2,8,3,2,1
32,2,0,17,8,2,2,10,22,4,1
33,11,3,11,0,3,2,11,7,4,1
34,12,0,8,0,2,0,20,23,4,1
35,0,0,9,0,8,18,1,18,3,0
36,5,0,11,0,9,18,1,21,2,1
37,5,10,0,0,6,2,13,1,4,1
38,5,0,5,0,13,8,21,24,12,1
39,3,0,10,0,4,2,22,17,4,1
40,7,0,0,5,8,17,6,3,4,1
41,6,0,0,9,7,19,7,8,4,1
42,9,11,7,0,8,20,6,22,2,1
43,13,0,5,0,15,21,23,25,13,2
44,14,0,5,0,11,22,24,26,14,2
45,0,5,18,3,4,2,17,27,4,1
46,9,0,2,5,8,2,13,5,4,1
47,15,0,10,0,1,23,7,8,4,1
48,16,0,5,10,16,24,23,28,15,2
49,3,0,18,4,1,25,8,29,2,1
50,1,0,10,0,17,26,25,30,4,1
51,12,0,18,0,2,27,10,31,4,1
52,0,0,15,11,7,28,14,19,10,0
53,1,0,1,0,17,29,1,22,4,1
54,5,0,9,0,10,24,26,32,8,1
55,10,0,10,12,7,2,2,2,2,1
56,17,10,19,0,18,30,27,7,16,2
57,4,6,20,0,5,2,15,33,2,1
58,18,0,17,9,19,2,24,34,17,2
59,0,0,8,8,13,2,28,35,18,0
60,1,10,11,0,20,2,29,36,17,0
61,1,0,14,0,17,14,20,4,4,1
62,14,0,5,0,11,6,23,26,14,2
63,3,0,17,0,1,1,7,3,2,1
64,5,0,8,0,0,31,18,34,19,1
65,4,6,21,0,3,30,2,22,4,1
66,9,3,22,0,8,2,5,6,2,1
67,10,3,2,0,7,2,14,11,2,1
68,1,0,9,0,2,32,2,13,11,0
69,0,0,11,0,21,12,12,37,20,0
70,12,0,14,0,7,31,11,22,2,1
71,7,0,13,3,3,33,17,8,2,1
72,12,0,9,13,2,2,30,13,4,1
73,15,0,17,0,1,34,11,7,4,1
74,1,0,15,0,8,9,14,38,3,0
75,12,10,9,0,7,35,21,39,2,1
76,19,0,5,14,5,2,13,5,2,1
77,20,0,10,15,22,36,31,9,4,1
78,5,0,22,16,13,37,32,40,3,1
79,5,0,23,0,23,27,33,41,10,1
80,0,12,7,0,4,2,34,23,4,1
81,8,0,15,0,3,35,15,33,2,1
82,9,1,7,0,8,2,10,22,4,1
83,5,0,13,1,12,4,2,33,9,1
84,21,0,0,0,6,38,4,5,2,1
85,5,0,11,0,14,35,1,13,11,1
86,5,0,24,0,6,2,9,42,2,1
87,22,6,8,10,1,2,3,9,4,1
88,8,0,17,0,3,39,16,43,2,1
89,11,0,10,8,3,2,16,5,4,1
90,3,0,3,0,1,32,3,44,2,1
91,5,0,25,1,23,2,6,13,10,1
92,0,0,1,3,7,2,14,19,10,0
93,23,0,3,0,17,2,29,45,4,1
94,4,1,5,5,3,37,4,21,4,1
95,1,0,15,2,2,5,14,46,11,0
96,5,0,3,0,12,27,18,24,9,1
97,4,0,17,0,3,40,35,43,4,1
98,7,0,4,14,8,2,10,31,4,1
99,5,0,11,7,6,9,1,47,4,1
100,5,0,8,0,19,41,14,41,21,1
101,7,9,21,0,3,20,11,22,2,1
102,4,12,10,0,3,22,30,5,4,1
103,24,3,14,15,5,2,30,13,4,1
104,5,0,13,14,9,22,2,21,1,1
105,0,0,1,10,5,37,14,16,9,0
106,5,0,11,0,11,9,14,14,7,1
107,2,8,26,0,2,2,19,48,4,1
108,4,0,8,0,3,42,6,3,4,1
109,0,0,20,0,3,43,6,18,5,0
110,8,10,13,0,3,3,22,29,2,1
111,5,0,13,8,13,4,2,19,12,1
112,1,0,13,0,24,44,36,49,22,0
113,11,4,12,0,3,2,21,46,2,1
114,12,0,9,11,7,7,30,46,2,1
115,6,5,10,10,7,3,1,2,4,1
116,25,3,14,13,7,2,10,22,4,1
117,4,3,11,0,3,34,11,7,4,1
118,9,12,21,3,8,2,7,7,4,1
119,9,0,10,8,8,2,1,11,2,1
120,10,1,2,10,7,1,14,11,2,1
121,6,0,27,14,7,2,16,5,4,1
122,5,0,21,4,10,2,4,48,23,1
123,12,0,0,0,7,2,22,29,2,1
124,9,4,11,3,8,2,17,27,4,1
125,5,0,11,0,9,16,14,1,2,1
126,10,1,3,0,7,2,25,17,2,1
127,4,0,10,0,3,45,30,5,4,1
128,2,5,7,0,2,2,17,27,2,1
129,5,12,28,0,23,2,37,50,10,1
130,6,1,29,0,7,2,19,20,4,1
131,21,0,27,0,25,19,38,32,24,1
132,3,0,7,0,1,38,25,17,2,1
133,25,12,8,4,7,2,39,17,4,1
134,7,9,10,13,8,46,4,11,4,1
135,5,0,7,11,26,2,30,51,25,1
136,5,6,3,0,10,2,18,52,8,1
137,0,0,11,0,13,26,29,18,18,0
138,0,0,9,0,5,2,1,16,9,0
139,4,1,7,13,5,8,18,1,2,1
140,1,3,9,0,9,2,1,48,24,0
141,6,3,12,0,7,34,13,21,4,1
