,Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
26,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
34,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
44,18,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
46,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
47,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
49,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
50,24,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
51,25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
52,26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
59,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
67,14,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
68,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
71,18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
72,19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
73,20,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2
74,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
76,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
77,24,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,4
78,25,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,4
79,26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
82,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
88,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
89,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,10,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
91,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
92,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,13,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
94,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2
96,16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
97,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
98,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
100,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
101,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
102,22,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
103,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
104,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
105,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
106,26,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
107,27,0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,4
108,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0
109,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
112,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
113,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
114,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
116,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
117,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
118,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
119,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
122,15,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
123,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
124,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
125,18,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
126,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
127,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
128,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
129,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
130,23,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
131,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
132,25,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
133,26,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
134,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
