,db,examples,attributes,discrete_ratio,mean_entropy,mean_correlation,mean_skew,mean_kurtosis,outliers,classes,entropy,cart_accuracy,naive_accuracy,neural_accuracy
0,abalone,12.028251428162793,3.169925001442312,0.2222222222222222,11.623155964257226,0.9068912989877882,0.6203687756176235,11.033153238707984,93,3,11.290021408913429,0.4856459330143541,0.5239234449760766,0.5478468899521531
1,adult,14.990857387288957,3.906890595608519,1.0,13.457601923388467,,,,0,2,12.936821944492381,0.8166649605896202,0.8021291841539564,0.7976251407513564
2,australian,9.430452551665534,3.906890595608519,0.8,8.503010646724311,0.53177881481176,1.8453595188158296,4.88875738045286,35,2,8.262094845370179,0.8115942028985508,0.7922705314009661,0.6086956521739131
3,drugs,10.880348808156027,4.954196310386875,1.0,9.529948662606042,,,,0,7,9.770245715641426,0.3250883392226148,0.11484098939929327,0.37809187279151946
4,fertility,6.6438561897747235,3.3219280948873617,0.9,5.648332308925678,1.0,0.7756240192915204,0.5821371912518485,1,2,3.5849625007211565,0.7666666666666667,0.7333333333333333,0.8
5,german,9.965784284662089,4.6438561897747235,1.0,9.01177980703264,,,,0,2,9.88275744637735,0.6966666666666667,0.7366666666666667,0.75
6,glass,7.741466986401148,3.3219280948873617,0.1,7.379368651605233,0.31350971500655284,1.6525943876046183,9.908544271023821,20,6,7.379368651605233,0.6461538461538462,0.2769230769230769,0.3538461538461539
7,heart,8.076815597050832,3.8073549220576037,0.9285714285714286,7.477906853298443,1.0,1.2628932110432118,1.7593165294222333,2,2,7.991945698364995,0.7037037037037037,0.8148148148148148,0.5061728395061729
8,ionosphere,8.455327220304559,5.087462841250339,0.05882352941176471,7.633649385216267,0.26206975864188553,-0.5236012057183732,0.23371697707319106,31,2,6.977279923499918,0.8396226415094341,0.8301886792452831,0.9245283018867924
9,pendigits,13.4241662888181,4.087462841250339,1.0,12.994159838468182,,,,0,10,13.048107750102815,0.957246816252274,0.8502122498483929,0.9751364463311096
10,phishing,13.432411404703588,4.954196310386875,1.0,11.878236240880794,,,,0,2,12.588011853215091,0.964124208622249,0.6038589086523968,0.9394030750678324
11,failures,9.076815597050832,4.3219280948873635,0.1,8.949684122470801,0.0642717512091359,5.4691990170786015e-06,-1.2000057830744852,0,2,8.948367231584678,0.9197530864197532,0.9506172839506172,0.925925925925926
12,shuttle,13.82376527978966,3.3219280948873617,1.0,13.008924885533249,,,,0,7,13.549191889855699,0.9954022988505749,0.7259770114942529,0.9629885057471264
13,spam,12.167731741103244,5.857980995127572,0.05172413793103448,10.615806939977244,0.07734613498678809,10.875701554373212,220.36762180036652,2379,2,10.824163209744155,0.9123823316437364,0.8204199855177408,0.9341057204923968
14,wdbc,9.152284842306582,4.954196310386875,0.03225806451612903,8.4797802640291,0.4150667380470488,1.7404066998407537,7.814735362154539,74,2,8.4797802640291,0.9415204678362572,0.9473684210526316,0.8830409356725146
15,wifi,10.965784284662087,3.0,1.0,10.93292035653146,,,,0,4,10.812223629333102,0.9633333333333334,0.98,0.9766666666666668
16,wine,7.475733430966398,3.8073549220576037,0.21428571428571427,7.390912328134358,0.3797464374529208,0.2441979675743525,-0.1608119806812213,8,3,7.357308783248584,0.9444444444444444,0.9814814814814816,0.3148148148148148
17,zoo,6.658211482751795,4.169925001442312,1.0,5.360293489849892,,,,0,7,6.2899201340259,0.935483870967742,0.967741935483871,0.6451612903225806
18,breast,6.7279204545632,3.3219280948873617,0.1,6.240451226913862,0.5643444655353318,2.2860211034694413,10.262761032799014,8,6,6.240451226913862,0.6875,0.625,0.3125
19,stability,13.287712379549447,3.8073549220576037,0.07142857142857142,11.821773981970571,0.13240866923604247,0.00046026852909292166,-1.1154772751334645,0,2,11.821773981970571,0.9996666666666668,0.9753333333333334,0.9523333333333334
20,student,9.370687406807216,5.087462841250339,1.0,8.584241117799005,,,,0,2,8.562242424221074,0.9949748743718592,0.8844221105527639,0.8994974874371859
21,leaf,8.409390936137703,4.0,0.125,8.142457644938046,0.4090214862478062,0.6977661925079943,3.1659935536922985,55,30,8.11312822490448,0.6274509803921569,0.7058823529411765,0.2058823529411765
22,kidney,8.643856189774723,4.6438561897747235,0.52,-inf,0.3070594535448131,1.5950486193374054,34.15400323103548,36,2,7.228818690495879,0.9833333333333332,0.9333333333333332,0.38333333333333336
23,traffic,7.076815597050832,4.169925001442312,1.0,3.0253894160135264,,,,0,5,6.4654558916680935,0.5853658536585366,0.5121951219512195,0.6341463414634146
