,Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4
10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
11,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
13,14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9
14,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7
19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2
24,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.8
25,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.4
26,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4
27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.9
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
31,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.3
32,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
33,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.9
34,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
35,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8.3
36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
37,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
39,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.7
40,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8
41,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1
42,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
43,17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8.3
44,18,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.4
45,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9.3
46,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.0
47,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1
48,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1
49,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7
50,24,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15.3
51,25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16.8
52,26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.6
53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
55,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
56,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3
57,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.9
58,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.0
59,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4
60,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.2
61,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.5
62,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6.7
63,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.7
64,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
65,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2
66,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8.0
67,14,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6.2
68,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8
69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
70,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.2
71,18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.1
72,19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12.2
73,20,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13.9
74,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15.0
75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.1
76,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.6
77,24,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20.2
78,25,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22.6
79,26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23.4
80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3
81,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4.0
82,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7
84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
87,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.6
88,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.6
89,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
90,10,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7.7
91,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7
92,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9
93,13,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10.1
94,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8
95,15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11.4
96,16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.5
97,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.1
98,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.5
99,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.9
100,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.1
101,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1
102,22,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.7
103,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6
104,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3
105,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9
106,26,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,21.5
107,27,0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,22.1
108,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3.4
109,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
110,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
111,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6.4
112,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8.2
113,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9.0
114,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1
115,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10.3
116,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.9
117,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3
118,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9
119,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3
120,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
121,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.7
122,15,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10.3
123,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.9
124,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9
125,18,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.4
126,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.3
127,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13.0
128,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6
129,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.4
130,23,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17.8
131,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18.1
132,25,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17.7
133,26,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17.4
134,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1
